Branch_ID,Part_Number,Period,Actual,Pred_Croston,Pred_SARIMA,Actual_Demand_Qty,Pred_LightGBM,Pred_Ensemble
AMQ,SC-TWA-0002,2024-08-01,32.0,29.49268606685536,32.45580500401822,32.0,32.09940864595711,29.454893135862793
AMQ,SC-TWA-0002,2024-09-01,24.0,29.49268606685536,30.868127477025507,24.0,24.20037600073982,22.626664920503817
AMQ,SC-TWA-0002,2024-10-01,24.0,29.49268606685536,26.802072358289116,24.0,24.9006781219309,23.23203306087832
AMQ,SC-TWA-0002,2024-11-01,30.0,29.49268606685536,30.94317015026944,30.0,30.543911451609613,28.110261418485816
AMQ,SC-TWA-0002,2024-12-01,37.0,29.49268606685536,35.92653757473299,37.0,37.41371870720437,34.0487875448631
BPN2,SC-TRN-0008,2024-07-01,66.0,74.4452407667925,76.1891762263187,66.0,67.27450917426556,61.26739916170553
BPN2,SC-TRN-0008,2024-08-01,60.0,74.4452407667925,73.27115377571074,60.0,67.20429046767453,61.206699405782715
BPN2,SC-TRN-0008,2024-09-01,55.0,74.4452407667925,70.10462819871766,55.0,55.37870944315468,50.98421145802986
BPN2,SC-TRN-0008,2024-10-01,58.0,74.4452407667925,52.52986408940704,58.0,58.82824263207775,53.96612087761979
BPN2,SC-TRN-0008,2024-11-01,60.0,74.4452407667925,156.88681647410968,60.0,63.3695422011687,57.89179522849612
BPN2,SC-TRN-0008,2024-12-01,0.0,74.4452407667925,137.97925208771022,0.0,63.29496903253591,57.82733130778104
BKL,SC-CLG-0008,2024-07-01,11.0,10.972166702161108,13.135913007429576,11.0,13.618974033510431,12.900504233013216
BKL,SC-CLG-0008,2024-08-01,13.0,10.972166702161108,20.648900982481127,13.0,12.79912191259976,12.191792465906682
BKL,SC-CLG-0008,2024-09-01,18.0,10.972166702161108,12.91453935402432,18.0,12.689019467041398,12.096615669062217
BKL,SC-CLG-0008,2024-10-01,16.0,10.972166702161108,10.357046510835572,16.0,13.141745650864255,12.487969628598359
