Branch_ID,Part_Number,Year,Month,Actual_Demand_Qty,Rank,Criticality_Level,Unit_Price_IDR,Sector_Sensitivity,Sector_Focus,Branch_Size_Factor,Region,Coal_Price_Index,Nickel_Price_Index,Construction_PMI,Fuel_Price_Index,USD_IDR_Rate,GDP_Growth_YoY_Pct,Sector_Match,Relevant_Macro_Value,Period,Lag_1,Lag_3,MA_3,MA_6,Demand_Frequency_12M,Relevant_Macro_Value_Lag1,Rank_Code,Criticality_Code,Sector_Sensitivity_Code,Sector_Focus_Code,Region_Code,Pred_RandomForest,Pred_XGBoost,Pred_LightGBM,Pred_Ridge,Pred_ANN
AMQ,SC-BRK-0002,2024,7,0.0,C,High,7875000.0,Construction,Forestry,0.83,Maluku,117.35,121.91,51.92,115.19,14997.0,5.29,0,51.92,2024-07-01,0.0,7.0,2.333333333333333,1.1666666666666667,1.0,51.78,3,3.0,1,2,3,1.460668625719047,2.1947556,0.9118907628006284,1.966823704464777,0.0076113343
AMQ,SC-BRK-0002,2024,8,5.0,C,High,7875000.0,Construction,Forestry,0.83,Maluku,115.0,103.71,49.95,118.81,15245.0,4.72,0,49.95,2024-08-01,0.0,0.0,0.0,1.1666666666666667,1.0,51.92,3,3.0,1,2,3,1.3025679117419138,1.1401521,0.8402027440358918,1.8951924940459715,0.0076443553
AMQ,SC-BRK-0002,2024,9,0.0,C,High,7875000.0,Construction,Forestry,0.83,Maluku,103.49,112.49,50.33,119.42,15172.0,4.45,0,50.33,2024-09-01,5.0,0.0,1.6666666666666667,2.0,2.0,49.95,3,3.0,1,2,3,1.19952893090157,0.83521837,1.0099365755934544,2.064791821980956,0.0076504946
AMQ,SC-BRK-0002,2024,10,0.0,C,High,7875000.0,Construction,Forestry,0.83,Maluku,102.89,118.18,49.13,119.41,15278.0,4.7,0,49.13,2024-10-01,0.0,0.0,1.6666666666666667,2.0,2.0,50.33,3,3.0,1,2,3,1.1987874128606335,1.0985492,1.3934646161771675,2.448015940180159,0.0076354146
AMQ,SC-BRK-0002,2024,11,0.0,C,High,7875000.0,Construction,Forestry,0.83,Maluku,109.81,138.98,51.48,114.64,15077.0,4.52,0,51.48,2024-11-01,0.0,5.0,1.6666666666666667,0.8333333333333334,2.0,49.13,3,3.0,1,2,3,1.0625319823761892,0.92146456,0.8935106284881806,1.948458135278361,0.0076523423
AMQ,SC-BRK-0002,2024,12,0.0,C,High,7875000.0,Construction,Forestry,0.83,Maluku,117.86,141.09,53.6,113.97,15104.0,4.51,0,53.6,2024-12-01,0.0,0.0,0.0,0.8333333333333334,2.0,51.48,3,3.0,1,2,3,1.2043446808327642,1.7764848,1.2193824898682533,2.274071763249986,0.007620096
AMQ,SC-BRK-0003,2024,7,44.0,A,Critical,5276000.0,Mining-Coal,Forestry,0.83,Maluku,117.35,121.91,51.92,115.19,14997.0,5.29,0,117.35,2024-07-01,45.0,46.0,44.0,38.833333333333336,12.0,126.88,1,4.0,4,2,3,39.31606731383212,40.295036,40.601953396865504,41.625434404901206,40.225094
AMQ,SC-BRK-0003,2024,8,45.0,A,Critical,5276000.0,Mining-Coal,Forestry,0.83,Maluku,115.0,103.71,49.95,118.81,15245.0,4.72,0,115.0,2024-08-01,44.0,41.0,43.333333333333336,40.833333333333336,12.0,117.35,1,4.0,4,2,3,40.50467325756743,41.14691,42.29919410111192,43.321330150272814,41.673527
AMQ,SC-BRK-0003,2024,9,38.0,A,Critical,5276000.0,Mining-Coal,Forestry,0.83,Maluku,103.49,112.49,50.33,119.42,15172.0,4.45,0,103.49,2024-09-01,45.0,45.0,44.66666666666666,43.333333333333336,12.0,115.0,1,4.0,4,2,3,40.53070081045429,32.24084,37.344507106175776,38.37056944005814,37.163204
AMQ,SC-BRK-0003,2024,10,32.0,A,Critical,5276000.0,Mining-Coal,Forestry,0.83,Maluku,102.89,118.18,49.13,119.41,15278.0,4.7,0,102.89,2024-10-01,38.0,44.0,42.333333333333336,43.16666666666666,12.0,103.49,1,4.0,4,2,3,38.52584693634639,32.016083,37.97766279882806,39.00322339576419,36.890503
